ap_id,gu,install_year,install_type_code,install_type,indoor_outdoor,lon,lat,usage_gb
1,도봉구,2020.0,1,주요거리,실외,127.02675,37.645554,40.6325061
2,도봉구,2020.0,1,주요거리,실외,127.014656,37.654285,43.2068667
3,도봉구,2020.0,3,공원(하천),실외,127.014244,37.6549,37.9032968
4,도봉구,2020.0,3,공원(하천),실외,127.01429,37.65059,144.9933651
5,도봉구,2020.0,3,공원(하천),실외,127.01446,37.651535,331.5643623
6,도봉구,2020.0,3,공원(하천),실외,127.01487,37.65948,88.8095353
7,도봉구,2020.0,1,주요거리,실외,127.01678,37.657597,27.5863487
8,도봉구,2020.0,1,주요거리,실외,127.01474,37.65776,132.954568
9,도봉구,2020.0,3,공원(하천),실외,127.01719,37.648884,104.2179853
10,도봉구,2020.0,1,주요거리,실외,127.022964,37.65058,43.1945004
11,도봉구,2020.0,1,주요거리,실외,127.023964,37.652245,238.2091263
12,도봉구,2020.0,1,주요거리,실외,127.02256,37.654427,5.7236141
13,도봉구,2020.0,1,주요거리,실외,127.02467,37.647976,85.5710548
14,도봉구,2020.0,1,주요거리,실외,127.02638,37.648273,193.9590585
15,도봉구,2020.0,1,주요거리,실외,127.02876,37.65094,106.34347
16,도봉구,2020.0,1,주요거리,실외,127.01368,37.6555,65.6062897
17,도봉구,2020.0,3,공원(하천),실외,127.0143,37.653595,106.6933228
18,도봉구,2020.0,3,공원(하천),실외,127.01268,37.652702,127.2705469
19,도봉구,2020.0,1,주요거리,실외,127.014595,37.655457,1437.0616082
20,도봉구,2020.0,1,주요거리,실외,127.01555,37.66136,49.9224956
21,도봉구,2020.0,3,공원(하천),실외,127.014786,37.661297,122.3282746
22,도봉구,2020.0,1,주요거리,실외,127.01854,37.657005,63.3413818
23,도봉구,2020.0,1,주요거리,실외,127.021835,37.648834,103.0788717
24,도봉구,2020.0,1,주요거리,실외,127.02034,37.649178,34.9746896
25,도봉구,2020.0,1,주요거리,실외,127.03793,37.657135,195.1262064
26,도봉구,2020.0,1,주요거리,실외,127.033844,37.651608,5.3738981
27,도봉구,2020.0,1,주요거리,실외,127.03455,37.65409,77.6902695
28,도봉구,2020.0,3,공원(하천),실외,127.033516,37.65376,99.45389
29,도봉구,2020.0,3,공원(하천),실외,127.03365,37.653683,109.7218542
30,도봉구,2020.0,1,주요거리,실외,127.036995,37.65397,151.1365443
31,도봉구,2020.0,1,주요거리,실외,127.03498,37.65901,229.2854191
32,도봉구,2020.0,1,주요거리,실외,127.03492,37.659355,468.0573651
33,도봉구,2020.0,1,주요거리,실외,127.03639,37.66107,51.2973064
34,도봉구,2020.0,1,주요거리,실외,127.034874,37.661465,135.2699231
35,도봉구,2020.0,1,주요거리,실외,127.034775,37.66246,70.3213808
36,도봉구,2020.0,1,주요거리,실외,127.03761,37.661858,282.6723175
37,도봉구,2020.0,1,주요거리,실외,127.031166,37.650227,12.429595
38,도봉구,2020.0,1,주요거리,실외,127.03524,37.65121,227.9268609
39,도봉구,2020.0,1,주요거리,실외,127.03406,37.648582,15.8629831
40,도봉구,2020.0,2,전통시장,실외,127.0324,37.648502,91.9303082
41,도봉구,2020.0,1,주요거리,실외,127.03381,37.64792,184.7658783
42,도봉구,2020.0,1,주요거리,실외,127.03341,37.650394,193.7126094
43,도봉구,2020.0,3,공원(하천),실외,127.019646,37.64903,25.3879934
44,도봉구,2020.0,1,주요거리,실외,127.03145,37.644974,60.3444932
45,도봉구,2020.0,1,주요거리,실외,127.02766,37.648705,777.1825855
46,도봉구,2020.0,3,공원(하천),실외,127.02827,37.644882,604.6832327
47,도봉구,2020.0,3,공원(하천),실외,127.029205,37.648067,272.7365322
48,도봉구,2020.0,3,공원(하천),실외,127.02881,37.654408,169.9087687
