ap_id,gu,address,install_year,install_type_code,install_type,indoor_outdoor,lon,lat,usage_gb,age_norm,usage_norm,usage_norm_log,density_norm,cluster_k3,cluster_k3_rank
1,도봉구,노해로 38길 15 백조아파트 라동앞,2020.0,1,주요거리,실외,127.02675,37.645554,40.6325061,0.357142857,0.045683303,0.390613358,0.0,0,0
2,도봉구,삼양로 144가길 58 대성하이츠빌라 앞,2020.0,1,주요거리,실외,127.014656,37.654285,43.2068667,0.357142857,0.0485776694,0.396898472,0.0,0,0
3,도봉구,삼양로 580-8 프린스빌라 앞(백운교)(우이천),2020.0,3,공원(하천),실외,127.014244,37.6549,37.9032968,0.357142857,0.0426148395,0.383510809,0.0,0,0
4,도봉구,삼양로142길 17,2020.0,3,공원(하천),실외,127.01429,37.65059,144.9933651,0.357142857,0.163016734,0.522045934,0.0,0,0
5,도봉구,도봉구 삼양로142길 33(근화교)(우이천),2020.0,3,공원(하천),실외,127.01446,37.651535,331.5643623,0.357142857,0.37277943,0.608286887,0.0,0,0
6,도봉구,삼양로 632,2020.0,3,공원(하천),실외,127.01487,37.65948,88.8095353,0.357142857,0.0998489755,0.471149169,0.0,0,0
7,도봉구,삼양로162길 44 삼거리,2020.0,1,주요거리,실외,127.01678,37.657597,27.5863487,0.357142857,0.0310154436,0.351230934,0.0,0,0
8,도봉구,해등로 374,2020.0,1,주요거리,실외,127.01474,37.65776,132.954568,0.357142857,0.149481454,0.513030766,0.0,0,0
9,도봉구,우이천로39길 74-1,2020.0,3,공원(하천),실외,127.01719,37.648884,104.2179853,0.357142857,0.117172772,0.487736221,0.0,0,0
10,도봉구,쌍문동 286-32(꽃동네어린이공원),2020.0,1,주요거리,실외,127.022964,37.65058,43.1945004,0.357142857,0.0485637659,0.396869165,0.0,0,0
11,도봉구,시루봉로1길 76 동익 APT 2동 뒷길,2020.0,1,주요거리,실외,127.023964,37.652245,238.2091263,0.357142857,0.267819676,0.573770986,0.0,0,0
12,도봉구,쌍문1동 산90-39번지일대 군부대옆 분수대공원(궁전하이츠빌 윗쪽)(둘리근린공원),2020.0,1,주요거리,실외,127.02256,37.654427,5.7236141,0.357142857,0.00643506283,0.199620296,0.0,0,0
13,도봉구,우이천로 356 쌍문초교 우리문방구앞,2020.0,1,주요거리,실외,127.02467,37.647976,85.5710548,0.357142857,0.0962079358,0.467302017,0.0,0,0
14,도봉구,노해로149,2020.0,1,주요거리,실외,127.02638,37.648273,193.9590585,0.357142857,0.218069105,0.552343729,0.0,0,0
15,도봉구,시루봉로 2 숭미초교 삼거리,2020.0,1,주요거리,실외,127.02876,37.65094,106.34347,0.357142857,0.119562465,0.489831241,0.0,0,0
16,도봉구,삼양로154길 8(건강원 앞),2020.0,1,주요거리,실외,127.01368,37.6555,65.6062897,0.357142857,0.0737614516,0.439839061,0.0,0,0
17,도봉구,삼양로146길 17 백운초교후문 앞 삼거리,2020.0,3,공원(하천),실외,127.0143,37.653595,106.6933228,0.357142857,0.119955806,0.490172098,0.0,0,0
18,도봉구,삼양로 556 보도변 화단,2020.0,3,공원(하천),실외,127.01268,37.652702,127.2705469,0.357142857,0.143090881,0.508488742,0.0,0,0
19,도봉구,삼양로 154길 26 백운교 앞,2020.0,1,주요거리,실외,127.014595,37.655457,1437.0616082,0.357142857,1.0,0.761669385,0.0,0,0
20,도봉구,삼양로162가길 42-59 (우진빌라앞),2020.0,1,주요거리,실외,127.01555,37.66136,49.9224956,0.357142857,0.0561280842,0.411713252,0.0,0,0
21,도봉구,삼양로 170길 23,2020.0,3,공원(하천),실외,127.014786,37.661297,122.3282746,0.357142857,0.13753426,0.504372754,0.0,0,0
22,도봉구,해등로 339-5 앞,2020.0,1,주요거리,실외,127.01854,37.657005,63.3413818,0.357142857,0.0712150044,0.436214995,0.0,0,0
23,도봉구,노해로37길,2020.0,1,주요거리,실외,127.021835,37.648834,103.0788717,0.357142857,0.115892061,0.486595949,0.0,0,0
24,도봉구,노해로 37길 108,2020.0,1,주요거리,실외,127.02034,37.649178,34.9746896,0.357142857,0.0393221919,0.375312418,0.0,0,0
25,도봉구,해등로 165 북서울농협 사거리,2020.0,1,주요거리,실외,127.03793,37.657135,195.1262064,0.357142857,0.219381335,0.552968982,0.0,0,0
26,도봉구,도봉로121가길 38 앞,2020.0,1,주요거리,실외,127.033844,37.651608,5.3738981,0.357142857,0.0060418754,0.194024911,0.0,0,0
27,도봉구,노해로57길 68,2020.0,1,주요거리,실외,127.03455,37.65409,77.6902695,0.357142857,0.0873475299,0.457303678,0.0,0,0
28,도봉구,쌍문2동 152-2번지 쌍문어린이놀이터 주변(쌍문동 81-276 윗쪽)(둘리근린공원),2020.0,3,공원(하천),실외,127.033516,37.65376,99.45389,0.357142857,0.111816476,0.482882406,0.0,0,0
29,도봉구,도봉로123길 59,2020.0,3,공원(하천),실외,127.03365,37.653683,109.7218542,0.357142857,0.123360799,0.493077306,0.0,0,0
30,도봉구,도봉로127길 10 경일운수 정문,2020.0,1,주요거리,실외,127.036995,37.65397,151.1365443,0.357142857,0.16992354,0.526363602,0.0,0,0
31,도봉구,도당로7 (벽산 불가마사우나 건물 사이),2020.0,1,주요거리,실외,127.03498,37.65901,229.2854191,0.357142857,0.257786707,0.569788382,0.0,0,0
32,도봉구,도당로 7 벽산아파트 삼거리,2020.0,1,주요거리,실외,127.03492,37.659355,468.0573651,0.357142857,0.526239189,0.644310869,0.0,0,0
33,도봉구,방학로7길 29 어울교 서,2020.0,1,주요거리,실외,127.03639,37.66107,51.2973064,0.357142857,0.0576737908,0.414503904,0.0,0,0
34,도봉구,도당로 36,2020.0,1,주요거리,실외,127.034874,37.661465,135.2699231,0.357142857,0.15208462,0.514825928,0.0,0,0
35,도봉구,도당로 37(한국SGI 주차장 진입 사거리),2020.0,1,주요거리,실외,127.034775,37.66246,70.3213808,0.357142857,0.0790626518,0.447003926,0.0,0,0
36,도봉구,"방학로5길 26(쌍문2동 8-25, 쌍룡수산 맞은편)",2020.0,1,주요거리,실외,127.03761,37.661858,282.6723175,0.357142857,0.317809862,0.591629591,0.0,0,0
37,도봉구,노해로48길 47 신안빌라 주변,2020.0,1,주요거리,실외,127.031166,37.650227,12.429595,0.357142857,0.0139746304,0.272092693,0.0,0,0
38,도봉구,노해로243,2020.0,1,주요거리,실외,127.03524,37.65121,227.9268609,0.357142857,0.256259274,0.569168561,0.0,0,0
39,도봉구,도봉로117길 5-13,2020.0,1,주요거리,실외,127.03406,37.648582,15.8629831,0.357142857,0.0178348056,0.29594096,0.0,0,0
40,도봉구,도봉로113길 34,2020.0,2,전통시장,실외,127.0324,37.648502,91.9303082,0.357142857,0.103357676,0.474727424,0.0,0,0
41,도봉구,도봉로 473(체리붐 앞),2020.0,1,주요거리,실외,127.03381,37.64792,184.7658783,0.357142857,0.207733167,0.547283864,0.0,0,0
42,도봉구,노해로 48길 93 영진아파트,2020.0,1,주요거리,실외,127.03341,37.650394,193.7126094,0.357142857,0.217792021,0.552211225,0.0,0,0
43,도봉구,우이천로24길 12 앞 한전주,2020.0,3,공원(하천),실외,127.019646,37.64903,25.3879934,0.357142857,0.0285438219,0.342848511,0.0,0,0
44,도봉구,도봉로103길 11 CU편의점 맞은편앞,2020.0,1,주요거리,실외,127.03145,37.644974,60.3444932,0.357142857,0.0678455877,0.431218487,0.0,0,0
45,도봉구,노해로44길 8(경보빌라트 앞 한전주),2020.0,1,주요거리,실외,127.02766,37.648705,777.1825855,0.357142857,0.873790205,0.69734106,0.0,0,0
46,도봉구,우이천로 308,2020.0,3,공원(하천),실외,127.02827,37.644882,604.6832327,0.357142857,0.679848328,0.671089316,0.0,0,0
47,도봉구,쌍문3동 315-362 샛별어린이공원,2020.0,3,공원(하천),실외,127.029205,37.648067,272.7365322,0.357142857,0.306639009,0.587894731,0.0,0,0
48,도봉구,쌍문1동 산 80-1번지일대 청소년 문화의집 뒤쪽 공원(둘리근린공원),2020.0,3,공원(하천),실외,127.02881,37.654408,169.9087687,0.357142857,0.191029245,0.538551868,0.0,0,0
49,도봉구,노해로57길 19-11 메이저빌 앞 한전주,2020.0,1,주요거리,실외,127.030624,37.64336,101.3043802,0.357142857,0.113896992,0.484794548,0.0,0,0
50,도봉구,노해로217,2020.0,1,주요거리,실외,127.03237,37.651077,100.6347989,0.357142857,0.113144178,0.484106682,0.0,0,0
51,도봉구,시루봉로 62,2020.0,1,주요거리,실외,127.02795,37.656376,363.1613837,0.357142857,0.408304117,0.617794738,0.0,0,0
52,도봉구,시루봉로 71 케이마트 앞,2020.0,1,주요거리,실외,127.027695,37.65781,376.492701,0.357142857,0.423292583,0.621561069,0.0,0,0
53,도봉구,방학3동 306-17(발바닥공원),2020.0,1,주요거리,실외,127.03473,37.660206,110.9938231,0.357142857,0.12479088,0.494273855,0.0,0,0
54,도봉구,방학로11길 24(방학3동 어린이집앞),2020.0,1,주요거리,실외,127.03269,37.661247,72.3771808,0.357142857,0.081373998,0.449980701,0.0,0,0
55,도봉구,해등로 241-14 국민은행 365 앞,2020.0,1,주요거리,실외,127.029785,37.65774,288.7213577,0.357142857,0.324610827,0.593839884,0.0,0,0
56,도봉구,쌍문1동 산 82번지일대 정의여고 뒤 체육시설 밀집지역(둘리근린공원),2020.0,3,공원(하천),실외,127.02904,37.65303,46.1154588,0.357142857,0.0518478139,0.403573496,0.0,0,0
57,도봉구,시루봉로2길 62 미라보아파트 정문 근처,2020.0,1,주요거리,실외,127.03127,37.655533,137.7779344,0.357142857,0.154904389,0.516736368,0.0,0,0
58,도봉구,시루봉로6길 53,2020.0,1,주요거리,실외,127.0297,37.659187,90.3560993,0.357142857,0.101587785,0.472937726,0.0,0,0
59,도봉구,해등로 218 금호아파트 앞,2020.0,3,공원(하천),실외,127.03292,37.65811,780.8196049,0.357142857,0.877879324,0.697829512,0.0,0,0
60,도봉구,노해로57길 94 창경초교 정문옆쪽 정자앞 사거리,2020.0,1,주요거리,실외,127.03453,37.655308,114.4309079,0.357142857,0.128655212,0.4974404,0.0,0,0
61,도봉구,창1동 산177 (초안산 세대공감 공원_창골어린이공원옆),2020.0,3,공원(하천),실외,127.02976,37.64388,39.579541,0.357142857,0.0444994491,0.387929854,0.0,0,0
62,도봉구,도당로 113 대로변 건너편 가로수 옆,2020.0,1,주요거리,실외,127.03908,37.666874,42.1865935,0.357142857,0.0474305711,0.394452467,0.0,0,0
63,도봉구,도당로27길 48 명품부동산 앞 전주,2020.0,2,전통시장,실외,127.041016,37.669456,192.0001668,0.357142857,0.215866714,0.551285869,0.0,0,0
64,도봉구,도봉로152가길 10 방학2번출구 돼지한마리 앞,2020.0,1,주요거리,실외,127.04441,37.669533,86.9745275,0.357142857,0.0977858671,0.468986647,0.0,0,0
65,도봉구,도봉로152길 15 금강상운(렉시온오피스텔) 삼거리,2020.0,1,주요거리,실외,127.04493,37.66947,421.1025723,0.357142857,0.473447683,0.633261774,0.0,0,0
66,도봉구,도봉로154길 6-13,2020.0,1,주요거리,실외,127.04448,37.670483,16.3215295,0.357142857,0.0183503516,0.298751437,0.0,0,0
67,도봉구,방학1동 717-1(금성윗들 소공원),2020.0,1,주요거리,실외,127.04467,37.66771,609.3542207,0.357142857,0.685099943,0.671894072,0.0,0,0
68,도봉구,"마들로 646(삼성래미안 108동, 횡단보도 방향)",2020.0,1,주요거리,실외,127.04627,37.666058,196.0309684,0.357142857,0.220398564,0.553451117,0.0,0,0
69,도봉구,도봉로 150라길 13 자전거 보관대,2020.0,1,주요거리,실외,127.044624,37.66598,132.1764988,0.357142857,0.148606667,0.512420534,0.0,0,0
70,도봉구,도봉로150다길 42 자건거보관대 옆,2020.0,1,주요거리,실외,127.045006,37.66806,155.7078776,0.357142857,0.175063113,0.529464839,0.0,0,0
71,도봉구,도봉로151길 14,2020.0,1,주요거리,실외,127.04262,37.66861,71.3665368,0.357142857,0.0802377259,0.448527869,0.0,0,0
72,도봉구,도당로29길 9 수정슈퍼,2020.0,3,공원(하천),실외,127.04181,37.66771,330.6533297,0.357142857,0.371755151,0.607999528,0.0,0,0
73,도봉구,도당로27길 12,2020.0,1,주요거리,실외,127.04094,37.667843,28.5958572,0.357142857,0.032150439,0.354866428,0.0,0,0
74,도봉구,도당로 133,2020.0,1,주요거리,실외,127.04097,37.667294,366.0959866,0.357142857,0.411603506,0.618635516,0.0,0,0
75,도봉구,도봉로113길 16 신신약국앞 전주,2020.0,3,공원(하천),실외,127.0421,37.662613,203.7014366,0.357142857,0.229022509,0.557451835,0.0,0,0
76,도봉구,창1동 산184-5 (초안산 세대공감 공원_정자뒤),2020.0,3,공원(하천),실외,127.04217,37.662968,759.1149594,0.357142857,0.853476683,0.694880235,0.0,0,0
77,도봉구,창1동 산184-5 (초안산 세대공감 공원_화장실앞),2020.0,3,공원(하천),실외,127.042816,37.662994,9.4779212,0.357142857,0.0106560489,0.246093772,0.0,0,0
78,도봉구,창1동 산184-5 (초안산 세대공감 공원_정문입구),2020.0,3,공원(하천),실외,127.042755,37.66255,26.6147686,0.357142857,0.0299230913,0.347608696,0.0,0,0
79,도봉구,도당로13길 8,2021.0,2,전통시장,실외,127.03561,37.66534,155.6224536,0.285714286,0.17496707,0.52940772,0.0,0,0
80,도봉구,시루봉로 219(GS25편의점 앞),2021.0,1,주요거리,실외,127.03433,37.6681,126.9153625,0.285714286,0.142691546,0.508198273,0.0,0,0
81,도봉구,해등로32길 8 우성아파트 101동 좌측 초당초교 사잇길,2020.0,1,주요거리,실외,127.02278,37.657543,111.2009909,0.357142857,0.1250238,0.494467451,0.0,0,0
82,도봉구,방학로15길26 김수영문학관,2020.0,1,주요거리,실외,127.02425,37.66021,986.0838414,0.357142857,1.0,0.722250881,0.0,0,0
83,도봉구,방학로15길5 청수한방삼계탕 앞,2020.0,1,주요거리,실외,127.02442,37.661373,99.9801409,0.357142857,0.112408143,0.48342975,0.0,0,0
84,도봉구,창2동 624-16 (다람쥐 어린이 공원),2021.0,3,공원(하천),실외,127.034935,37.645203,176.0562987,0.285714286,0.197940944,0.542253645,0.0,0,0
85,도봉구,도봉로106길13,2020.0,1,주요거리,실외,127.03354,37.64472,224.1553643,0.357142857,0.252018961,0.5674284,0.0,0,0
86,도봉구,도봉로110길 12 KT도봉지사 사거리,2020.0,1,주요거리,실외,127.03443,37.64624,82.3013529,0.357142857,0.0925317938,0.463268917,0.0,0,0
87,도봉구,덕릉로63가길 50,2020.0,1,주요거리,실외,127.03791,37.643024,99.7604762,0.357142857,0.112161173,0.483201628,0.0,0,0
88,도봉구,덕릉로59길16 T월드 핸폰가게 앞,2020.0,1,주요거리,실외,127.03877,37.6405,130.5312603,0.357142857,0.146756918,0.511118364,0.0,0,0
89,도봉구,도봉로 484 쌍문역 2번출구,2020.0,1,주요거리,실외,127.034424,37.64774,328.2151801,0.357142857,0.369013928,0.607226586,0.0,0,0
90,도봉구,창동 산139-7(초안산근린공원 등산로 입구),2020.0,3,공원(하천),실외,127.04104,37.64485,264.9135696,0.357142857,0.297843613,0.584857418,0.0,0,0
91,도봉구,덕릉로63길 20-13 창림초등학교 근처,2020.0,1,주요거리,실외,127.04111,37.642918,16.6714542,0.357142857,0.0187437737,0.300846554,0.0,0,0
92,도봉구,덕릉로53길 16 공원입구,2020.0,1,주요거리,실외,127.03661,37.63821,103.3565502,0.357142857,0.116204256,0.486875056,0.0,0,0
93,도봉구,덕릉로 53길 54 한신빌라 앞,2020.0,1,주요거리,실외,127.03495,37.639538,15.6464556,0.357142857,0.0175913627,0.294587168,0.0,0,0
94,도봉구,덕릉로53길 86,2020.0,1,주요거리,실외,127.03413,37.64086,569.5898425,0.357142857,0.640392656,0.664836925,0.0,0,0
95,도봉구,덕릉로62길60,2020.0,3,공원(하천),실외,127.04255,37.63942,72.5435815,0.357142857,0.0815610831,0.450217987,0.0,0,0
96,도봉구,덕릉로60길 9 삼대냉면 앞 전주,2020.0,1,주요거리,실외,127.03999,37.639675,79.2723892,0.357142857,0.0891263149,0.459388931,0.0,0,0
